,SO2,NO,NO2,O3,VEL,DIR,TEM,HUM,PRE,RAD,LLU,PM10,date,estacion
257,0.2,0.19,1.06,75.96,6.08,230.24,16.23,73.2,874.0,499.84,0.0,114.75,31-10-2024 12:40 ,9
258,0.78,0.14,0.94,77.57,6.9,231.04,16.11,71.65,874.0,505.27,0.0,114.75,31-10-2024 12:50 ,9
259,0.72,0.18,0.88,76.87,6.66,232.32,16.3,72.04,874.0,503.7,0.0,113.56,31-10-2024 13:00 ,9
260,0.79,0.2,0.85,76.81,6.22,208.68,16.45,72.29,874.0,482.54,0.0,101.62,31-10-2024 13:10 ,9
261,0.33,0.15,0.88,77.75,6.09,224.2,16.24,71.96,874.0,375.8,0.0,101.62,31-10-2024 13:20 ,9
262,0.41,0.13,0.91,77.01,6.48,234.55,16.18,72.71,874.0,407.65,0.0,101.62,31-10-2024 13:30 ,9
263,0.75,0.16,0.91,77.82,7.07,237.76,16.35,71.83,874.0,440.3,0.0,101.61,31-10-2024 13:40 ,9
264,0.83,0.16,1.0,76.41,6.38,235.93,16.17,72.67,874.0,317.8,0.0,101.62,31-10-2024 13:50 ,9
265,0.67,0.16,1.02,75.97,5.78,219.99,15.85,74.24,874.0,196.4,0.0,100.51,31-10-2024 14:00 ,9
266,0.45,0.17,0.99,68.84,5.6,252.55,15.27,82.96,873.0,135.77,0.0,87.41,31-10-2024 14:10 ,9
267,0.55,0.2,1.03,63.24,5.35,248.97,14.88,89.07,874.0,131.67,0.0,87.41,31-10-2024 14:20 ,9
268,0.73,0.21,1.04,63.82,5.14,248.43,15.07,86.73,874.0,190.93,0.0,87.41,31-10-2024 14:30 ,9
269,0.66,0.21,1.13,66.77,5.51,241.66,15.23,83.79,874.0,198.83,0.0,87.41,31-10-2024 14:40 ,9
270,0.54,0.18,1.01,66.68,5.28,248.09,15.06,84.09,874.0,176.98,0.0,87.4,31-10-2024 14:50 ,9
271,0.24,0.18,1.03,66.8,4.72,243.36,15.41,83.8,874.0,227.77,0.0,86.26,31-10-2024 15:00 ,9
272,,,,,,,,,,,,,,9
273,0.08,0.22,5.64,17.47,0.01,18.36,12.29,100.0,1017.6,0.93,0.0,0.0,31-10-2024 00:10 ,17
274,0.1,0.43,4.75,15.99,0.01,2.43,12.45,100.0,1017.64,0.93,0.0,0.0,31-10-2024 00:20 ,17
275,0.1,0.71,3.98,16.8,0.12,351.02,12.58,100.0,1017.62,0.93,0.0,0.0,31-10-2024 00:30 ,17
276,0.07,0.54,3.75,17.76,0.94,354.24,12.75,100.0,1017.63,0.93,0.0,0.0,31-10-2024 00:40 ,17
277,0.15,0.25,3.29,19.26,0.85,0.61,12.95,100.0,1017.62,0.93,0.0,0.0,31-10-2024 00:50 ,17
278,0.11,0.42,3.28,18.14,1.57,8.95,13.04,100.0,1017.55,0.93,0.0,0.0,31-10-2024 01:00 ,17
279,0.11,0.27,3.64,18.34,0.94,353.57,13.13,100.0,1017.5,0.93,0.0,0.0,31-10-2024 01:10 ,17
280,0.12,0.3,4.31,16.79,0.4,2.07,13.08,100.0,1017.47,0.93,0.0,0.0,31-10-2024 01:20 ,17
281,0.1,0.34,4.31,14.75,1.1,341.19,13.03,100.0,1017.44,0.93,0.0,0.0,31-10-2024 01:30 ,17
282,0.08,0.32,4.2,13.86,0.71,359.41,12.98,100.0,1017.41,0.93,0.0,0.0,31-10-2024 01:40 ,17
283,0.19,0.35,3.96,15.57,0.81,16.79,12.93,100.0,1017.43,0.93,0.0,0.0,31-10-2024 01:50 ,17
284,0.19,0.29,3.6,18.43,1.71,8.35,12.92,100.0,1017.44,0.93,0.0,0.0,31-10-2024 02:00 ,17
285,0.06,0.28,3.2,19.25,1.55,5.36,13.03,100.0,1017.43,0.93,0.0,0.0,31-10-2024 02:10 ,17
286,0.11,0.3,3.08,21.27,1.71,11.77,13.18,100.0,1017.48,0.93,0.0,0.0,31-10-2024 02:20 ,17
287,0.06,0.27,2.87,21.1,2.59,15.07,13.33,100.0,1017.44,0.93,0.0,0.0,31-10-2024 02:30 ,17
288,0.03,0.39,3.11,22.91,2.98,7.36,13.35,100.0,1017.41,0.93,0.0,0.0,31-10-2024 02:40 ,17
289,0.09,0.18,3.18,22.15,2.67,15.48,13.34,100.0,1017.43,0.93,0.0,0.0,31-10-2024 02:50 ,17
290,0.07,0.2,2.81,21.0,2.34,7.4,13.33,100.0,1017.46,0.93,0.0,0.0,31-10-2024 03:00 ,17
291,0.03,0.21,2.68,21.8,2.09,10.94,13.34,100.0,1017.47,0.93,0.0,0.0,31-10-2024 03:10 ,17
292,0.06,0.23,2.78,22.73,1.98,15.19,13.39,100.0,1017.52,0.93,0.0,0.0,31-10-2024 03:20 ,17
293,0.09,0.2,2.94,20.72,2.32,16.52,13.45,100.0,1017.53,0.93,0.0,0.0,31-10-2024 03:30 ,17
294,0.03,0.2,3.09,20.21,2.66,18.46,13.51,100.0,1017.52,0.93,0.0,0.0,31-10-2024 03:40 ,17
295,0.12,0.21,3.42,21.85,2.93,16.84,13.59,100.0,1017.46,0.93,0.0,0.0,31-10-2024 03:50 ,17
296,0.24,0.14,4.06,22.54,2.38,11.36,13.63,100.0,1017.44,0.93,0.0,0.0,31-10-2024 04:00 ,17
297,0.06,0.19,4.36,21.41,2.03,22.26,13.67,100.0,1017.44,0.93,0.2,0.0,31-10-2024 04:10 ,17
298,0.11,0.2,4.62,21.11,1.79,15.87,13.74,100.0,1017.44,0.93,0.0,0.0,31-10-2024 04:20 ,17
299,0.17,0.22,5.0,19.83,1.56,18.83,13.81,100.0,1017.44,0.93,0.0,0.0,31-10-2024 04:30 ,17
300,0.02,0.18,5.34,19.96,1.12,20.7,13.84,100.0,1017.48,0.93,0.0,0.0,31-10-2024 04:40 ,17
301,0.09,0.25,5.46,21.47,1.68,16.74,13.88,100.0,1017.5,0.93,0.0,0.0,31-10-2024 04:50 ,17
302,0.17,0.39,5.49,20.49,1.26,23.6,13.94,100.0,1017.55,0.93,0.0,0.0,31-10-2024 05:00 ,17
303,0.08,0.22,5.74,20.26,1.49,36.23,13.97,100.0,1017.52,0.93,0.0,0.0,31-10-2024 05:10 ,17
304,0.1,0.34,6.29,22.42,2.4,25.68,14.05,100.0,1017.5,0.93,0.0,0.0,31-10-2024 05:20 ,17
305,0.19,0.25,6.46,20.1,1.84,20.19,14.13,100.0,1017.47,0.93,0.0,0.0,31-10-2024 05:30 ,17
306,0.05,0.39,6.74,19.84,2.13,35.3,14.21,100.0,1017.44,0.93,0.0,0.0,31-10-2024 05:40 ,17
307,0.07,0.22,6.82,23.2,2.28,38.61,14.43,100.0,1017.43,0.93,0.0,0.0,31-10-2024 05:50 ,17
308,0.26,0.19,6.37,26.01,2.19,46.35,14.67,100.0,1017.42,0.93,0.0,0.0,31-10-2024 06:00 ,17
309,0.19,0.22,6.34,26.7,1.99,61.85,14.85,100.0,1017.44,0.93,0.0,0.0,31-10-2024 06:10 ,17
310,0.14,0.14,5.5,30.83,1.97,59.39,15.03,100.0,1017.47,0.93,0.0,0.0,31-10-2024 06:20 ,17
311,0.17,0.09,4.9,30.3,2.32,68.56,15.13,100.0,1017.49,0.93,0.0,0.0,31-10-2024 06:30 ,17
312,0.03,0.11,4.22,36.31,3.08,83.75,15.25,100.0,1017.53,1.53,0.0,0.0,31-10-2024 06:40 ,17
313,0.09,0.11,3.19,42.35,3.43,95.34,15.45,100.0,1017.56,2.4,0.0,0.0,31-10-2024 06:50 ,17
314,0.18,0.12,3.1,47.2,4.02,99.9,15.69,100.0,1017.59,3.72,0.0,0.0,31-10-2024 07:00 ,17
315,0.09,0.1,2.56,51.46,4.25,97.2,15.85,100.0,1017.65,5.62,0.0,0.0,31-10-2024 07:10 ,17
316,0.18,0.16,2.83,50.94,3.84,97.25,15.87,100.0,1017.68,9.88,0.0,0.0,31-10-2024 07:20 ,17
317,0.24,0.31,3.03,52.15,4.2,97.44,15.97,100.0,1017.77,17.42,0.0,0.0,31-10-2024 07:30 ,17
318,0.08,0.23,3.45,51.99,3.72,104.71,16.07,100.0,1017.86,34.4,0.0,0.0,31-10-2024 07:40 ,17
319,0.17,0.37,3.77,50.89,3.92,107.18,16.15,100.0,1017.91,45.09,0.2,0.0,31-10-2024 07:50 ,17
320,0.08,0.21,4.04,53.85,4.25,109.46,16.16,100.0,1017.97,36.03,0.0,0.0,31-10-2024 08:00 ,17
321,0.13,0.19,3.99,47.8,3.55,112.91,16.14,100.0,1018.05,18.74,0.0,0.0,31-10-2024 08:10 ,17
322,0.09,0.18,4.04,55.3,4.5,111.31,16.13,99.83,1018.09,21.21,0.2,0.0,31-10-2024 08:20 ,17
323,0.23,0.23,3.99,57.56,3.67,106.6,16.14,100.0,1018.14,42.13,0.2,0.0,31-10-2024 08:30 ,17
324,0.16,0.31,3.97,50.48,3.79,110.15,16.18,100.0,1018.27,83.59,0.2,0.0,31-10-2024 08:40 ,17
325,0.02,0.41,3.93,58.75,3.19,118.27,16.3,100.0,1018.31,146.06,0.0,0.0,31-10-2024 08:50 ,17
326,0.15,0.62,3.9,59.42,4.12,108.14,16.47,100.0,1018.35,213.82,0.0,0.0,31-10-2024 09:00 ,17
327,0.12,0.69,2.56,61.27,4.63,92.35,16.88,100.0,1018.38,423.6,0.0,0.0,31-10-2024 09:10 ,17
328,0.11,0.73,1.77,65.41,5.38,89.72,17.42,100.0,1018.41,506.04,0.0,0.0,31-10-2024 09:20 ,17
329,0.16,0.48,1.48,64.09,5.77,93.75,17.65,100.0,1018.47,503.9,0.0,0.0,31-10-2024 09:30 ,17
330,0.04,0.43,1.22,68.66,5.94,94.33,17.6,100.0,1018.51,380.13,0.0,0.0,31-10-2024 09:40 ,17
331,0.09,0.42,1.23,70.54,6.04,99.53,17.88,100.0,1018.56,399.73,0.0,0.0,31-10-2024 09:50 ,17
332,0.11,0.4,1.37,64.37,5.32,100.3,18.28,100.0,1018.61,394.88,0.0,0.0,31-10-2024 10:00 ,17
333,0.04,0.5,1.42,69.2,6.55,100.46,18.7,100.0,1018.62,417.26,0.0,0.0,31-10-2024 10:10 ,17
334,0.07,0.55,1.41,64.22,5.43,107.24,19.2,100.0,1018.66,473.44,0.0,0.0,31-10-2024 10:20 ,17
335,0.13,0.38,1.43,68.7,5.46,107.6,18.94,100.0,1018.66,308.56,0.0,0.0,31-10-2024 10:30 ,17
336,0.19,0.38,1.03,66.07,5.81,115.43,19.03,100.0,1018.66,397.4,0.0,0.0,31-10-2024 10:40 ,17
337,0.3,0.31,0.74,72.39,6.47,116.11,19.24,100.0,1018.72,325.31,0.0,0.0,31-10-2024 10:50 ,17
338,0.14,0.36,1.09,73.99,5.57,117.97,19.26,100.0,1018.75,284.35,0.0,0.0,31-10-2024 11:00 ,17
339,0.14,0.29,1.08,72.77,6.14,112.51,19.38,100.0,1018.75,266.6,0.0,0.0,31-10-2024 11:10 ,17
340,0.05,0.34,0.93,69.11,6.99,103.79,19.42,100.0,1018.72,400.47,0.0,0.0,31-10-2024 11:20 ,17
341,0.05,0.62,2.39,69.18,8.44,107.33,19.41,100.0,1018.65,389.96,0.0,0.0,31-10-2024 11:30 ,17
342,0.07,0.7,2.96,64.83,7.35,115.94,19.07,100.0,1018.64,258.86,0.0,0.0,31-10-2024 11:40 ,17
343,0.12,0.5,3.05,68.62,7.42,119.33,18.8,100.0,1018.62,169.22,0.0,0.0,31-10-2024 11:50 ,17
344,0.04,0.5,3.83,63.3,7.5,120.18,18.49,100.0,1018.62,152.07,0.0,0.0,31-10-2024 12:00 ,17
345,0.07,0.48,3.58,67.81,6.93,126.32,18.41,100.0,1018.6,146.75,0.0,0.0,31-10-2024 12:10 ,17
346,0.02,0.43,4.09,63.28,6.6,116.82,18.39,100.0,1018.57,96.23,0.0,0.0,31-10-2024 12:20 ,17
347,0.13,0.43,5.15,63.37,5.59,117.23,18.29,100.0,1018.49,96.23,0.0,0.0,31-10-2024 12:30 ,17
348,0.18,0.54,5.32,61.18,5.73,119.24,18.36,100.0,1018.46,101.34,0.0,0.0,31-10-2024 12:40 ,17
349,0.31,0.55,6.0,56.39,5.26,118.26,18.31,100.0,1018.42,132.05,0.2,0.0,31-10-2024 12:50 ,17
350,0.29,0.57,5.36,61.88,5.2,121.39,18.34,100.0,1018.42,142.48,0.0,0.0,31-10-2024 13:00 ,17
351,0.29,0.5,3.74,65.37,6.34,126.0,18.37,100.0,1018.44,114.3,0.0,0.0,31-10-2024 13:10 ,17
352,0.29,0.26,2.8,71.77,6.68,119.77,18.25,100.0,1018.38,91.3,0.2,0.0,31-10-2024 13:20 ,17
353,0.26,0.2,2.74,71.65,5.49,122.47,18.11,100.0,1018.37,76.01,0.6,0.0,31-10-2024 13:30 ,17
354,0.3,0.21,2.21,67.3,4.38,119.8,18.06,100.0,1018.33,110.0,0.8,0.0,31-10-2024 13:40 ,17
355,0.22,0.27,1.87,73.09,5.03,113.71,18.26,100.0,1018.25,266.42,0.0,0.0,31-10-2024 13:50 ,17
356,0.25,0.39,1.82,73.11,5.51,118.6,18.62,100.0,1018.21,299.18,0.0,0.0,31-10-2024 14:00 ,17
357,0.15,0.29,2.02,76.91,6.01,121.94,18.58,100.0,1018.21,172.9,0.0,0.0,31-10-2024 14:10 ,17
358,0.09,0.31,2.06,72.41,5.32,119.65,18.59,100.0,1018.25,150.71,0.0,0.0,31-10-2024 14:20 ,17
359,0.15,0.28,2.66,74.74,5.72,119.65,18.58,100.0,1018.29,184.63,0.0,0.0,31-10-2024 14:30 ,17
360,0.21,0.38,2.4,70.07,4.91,114.92,18.87,100.0,1018.35,324.65,0.0,0.0,31-10-2024 14:40 ,17
361,0.19,0.42,1.87,70.28,5.58,122.46,19.14,100.0,1018.38,331.78,0.0,0.0,31-10-2024 14:50 ,17
362,0.2,0.4,1.57,74.84,6.42,122.05,19.38,100.0,1018.4,346.34,0.0,0.0,31-10-2024 15:00 ,17
363,,,,,,,,,,,,,,17
364,1.05,0.12,1.25,62.39,5.39,72.24,16.93,98.45,963.0,8.0,0.0,0.0,31-10-2024 00:10 ,14
365,1.28,0.12,1.21,62.9,5.25,75.53,17.16,97.56,963.0,8.0,0.0,0.0,31-10-2024 00:20 ,14
366,1.14,0.12,1.25,64.0,5.58,72.37,17.19,96.88,963.0,8.0,0.0,0.0,31-10-2024 00:30 ,14
367,1.1,0.12,1.16,64.1,5.49,80.21,17.29,96.67,963.0,8.0,0.0,0.0,31-10-2024 00:40 ,14
368,1.09,0.12,1.13,64.29,3.88,89.76,17.12,97.62,963.0,8.22,0.0,0.0,31-10-2024 00:50 ,14
369,1.05,0.12,1.18,60.02,3.88,84.64,16.78,100.0,963.0,8.99,0.0,0.0,31-10-2024 01:00 ,14
370,1.04,0.12,1.14,58.67,4.05,76.12,16.8,100.0,963.0,8.98,0.0,0.0,31-10-2024 01:10 ,14
371,1.06,0.12,1.13,57.45,4.12,69.8,16.72,100.0,963.0,8.13,0.0,0.0,31-10-2024 01:20 ,14
372,1.03,0.12,1.14,57.39,3.52,74.58,16.69,100.0,963.0,8.0,0.0,0.0,31-10-2024 01:30 ,14
373,1.04,0.13,1.13,55.11,3.41,86.0,16.57,100.0,963.0,8.0,0.0,0.0,31-10-2024 01:40 ,14
374,1.15,0.12,1.06,54.35,2.99,83.92,16.56,100.0,963.0,8.0,0.0,0.0,31-10-2024 01:50 ,14
375,1.05,0.13,1.02,50.64,2.93,95.19,16.44,100.0,963.0,8.0,0.0,0.0,31-10-2024 02:00 ,14
376,1.13,0.12,1.0,43.49,2.31,91.62,16.44,100.0,963.0,8.0,0.0,0.0,31-10-2024 02:10 ,14
377,1.06,0.12,0.88,54.06,2.51,95.85,16.64,100.0,963.0,8.11,0.0,0.0,31-10-2024 02:20 ,14
378,1.16,0.13,0.84,58.4,2.5,91.76,16.72,100.0,963.0,8.02,0.0,0.0,31-10-2024 02:30 ,14
379,1.2,0.12,0.78,59.88,3.33,92.98,16.82,99.94,963.0,8.01,0.0,0.0,31-10-2024 02:40 ,14
380,1.1,0.13,0.73,61.99,3.73,85.18,16.99,97.16,963.0,8.0,0.0,0.0,31-10-2024 02:50 ,14
381,1.09,0.12,0.74,61.37,0.85,91.71,16.82,96.77,963.0,8.0,0.0,0.0,31-10-2024 03:00 ,14
382,1.06,0.11,0.75,62.03,0.87,83.37,16.63,99.08,963.0,8.0,0.0,0.0,31-10-2024 03:10 ,14
383,1.01,0.11,0.81,55.32,0.51,121.16,16.42,99.39,963.0,8.0,0.0,0.0,31-10-2024 03:20 ,14
384,1.01,0.1,0.77,59.53,1.08,77.48,16.38,100.0,963.0,8.7,0.0,0.0,31-10-2024 03:30 ,14
385,1.11,0.13,0.68,58.23,3.52,73.47,17.08,99.47,963.0,8.8,0.0,0.0,31-10-2024 03:40 ,14
386,1.07,0.11,0.73,56.33,1.85,39.72,16.75,95.82,963.0,8.0,0.0,0.0,31-10-2024 03:50 ,14
387,1.19,0.11,0.93,45.14,0.95,326.14,15.68,99.46,963.0,8.0,0.0,0.0,31-10-2024 04:00 ,14
388,1.14,0.11,1.04,47.34,1.34,267.67,15.06,100.0,963.0,8.0,0.0,0.0,31-10-2024 04:10 ,14
389,1.07,0.11,1.03,50.73,0.16,280.38,14.99,100.0,963.0,8.5,0.0,0.0,31-10-2024 04:20 ,14
390,1.2,0.12,0.93,51.99,2.4,67.62,15.41,100.0,963.0,9.04,0.2,0.0,31-10-2024 04:30 ,14
391,1.13,0.11,0.65,62.99,4.48,58.45,16.66,99.5,963.0,9.0,0.0,0.0,31-10-2024 04:40 ,14
392,1.13,0.11,0.63,60.55,3.13,79.48,16.84,96.93,963.0,9.0,0.0,0.0,31-10-2024 04:50 ,14
393,1.02,0.13,0.61,60.62,3.32,78.48,16.89,96.0,963.0,9.0,0.0,0.0,31-10-2024 05:00 ,14
394,1.03,0.12,0.66,63.4,3.68,86.17,16.96,95.13,963.0,9.0,0.0,0.0,31-10-2024 05:10 ,14
395,1.05,0.11,0.75,61.63,3.05,77.54,16.73,95.0,963.0,8.49,0.0,0.0,31-10-2024 05:20 ,14
396,1.16,0.12,0.82,59.95,2.79,70.26,16.74,93.69,963.0,8.01,0.0,0.0,31-10-2024 05:30 ,14
397,1.05,0.11,1.1,53.07,0.21,109.21,16.1,95.29,963.0,8.0,0.0,0.0,31-10-2024 05:40 ,14
398,1.06,0.12,1.07,51.83,0.0,108.89,15.53,99.63,963.0,8.0,0.0,0.0,31-10-2024 05:50 ,14
399,0.99,0.11,0.95,53.81,0.01,333.97,15.46,100.0,963.0,8.16,0.0,0.0,31-10-2024 06:00 ,14
400,0.99,0.11,0.95,47.3,0.74,284.21,15.02,100.0,963.0,8.05,0.0,0.0,31-10-2024 06:10 ,14
401,1.05,0.11,1.12,36.12,0.49,283.19,14.49,100.0,963.0,9.27,0.0,0.0,31-10-2024 06:20 ,14
402,0.96,0.12,1.18,35.64,0.08,133.54,14.37,100.0,963.0,11.62,0.0,0.0,31-10-2024 06:30 ,14
403,1.01,0.13,1.45,29.16,0.22,90.82,14.08,100.0,963.28,17.46,0.0,0.0,31-10-2024 06:40 ,14
404,1.05,0.13,1.31,32.33,0.0,118.0,14.15,100.0,963.98,29.41,0.0,0.0,31-10-2024 06:50 ,14
405,1.07,0.17,1.03,44.17,0.46,294.18,14.66,100.0,964.0,37.58,0.0,0.0,31-10-2024 07:00 ,14
406,1.14,0.15,1.07,40.23,0.34,270.39,15.02,100.0,964.0,41.5,0.0,0.0,31-10-2024 07:10 ,14
407,1.2,0.27,1.34,35.81,1.05,32.57,15.31,100.0,964.0,45.91,0.0,0.0,31-10-2024 07:20 ,14
408,1.25,0.29,1.53,30.37,0.39,118.52,15.64,100.0,964.0,52.15,0.0,0.0,31-10-2024 07:30 ,14
409,1.26,0.23,1.31,42.57,0.25,260.66,15.71,100.0,964.0,59.17,0.0,0.0,31-10-2024 07:40 ,14
410,1.19,0.23,1.13,44.69,0.0,278.59,15.93,100.0,964.0,73.57,0.0,0.0,31-10-2024 07:50 ,14
411,1.12,0.26,1.07,44.78,0.01,264.73,16.81,100.0,964.0,85.89,0.0,0.0,31-10-2024 08:00 ,14
412,1.2,0.32,1.23,43.14,0.11,251.06,17.57,99.37,964.0,143.52,0.0,0.0,31-10-2024 08:10 ,14
413,1.17,0.49,1.89,37.94,0.24,238.17,17.83,94.84,964.0,236.31,0.0,0.0,31-10-2024 08:20 ,14
414,1.25,0.39,1.44,42.63,0.47,292.83,18.44,92.53,964.0,217.24,0.0,0.0,31-10-2024 08:30 ,14
415,1.17,0.34,1.33,46.64,1.46,105.18,18.8,88.29,964.01,225.71,0.0,0.0,31-10-2024 08:40 ,14
416,1.13,0.21,0.78,63.64,1.81,108.54,19.93,80.54,964.04,324.39,0.0,0.0,31-10-2024 08:50 ,14
417,1.1,0.17,0.56,70.84,2.29,108.26,20.36,77.0,964.72,318.51,0.0,0.0,31-10-2024 09:00 ,14
418,1.19,0.18,0.57,71.61,3.63,119.38,20.53,74.31,964.72,357.64,0.0,0.0,31-10-2024 09:10 ,14
419,1.08,0.16,0.55,76.02,5.09,116.64,20.39,72.15,964.85,387.83,0.0,0.0,31-10-2024 09:20 ,14
420,1.01,0.19,0.65,74.84,4.36,114.82,20.59,70.48,964.98,430.79,0.0,0.0,31-10-2024 09:30 ,14
421,1.02,0.22,0.74,74.78,4.09,116.52,20.73,68.97,964.53,437.74,0.0,0.0,31-10-2024 09:40 ,14
422,1.18,0.22,0.82,74.71,4.81,117.34,20.72,68.81,964.15,482.69,0.0,0.0,31-10-2024 09:50 ,14
423,1.08,0.23,0.81,76.01,6.27,112.88,20.62,67.67,964.0,484.88,0.0,0.0,31-10-2024 10:00 ,14
424,1.11,0.24,0.85,76.48,6.1,106.98,20.34,67.98,964.0,454.13,0.0,0.0,31-10-2024 10:10 ,14
425,1.17,0.24,0.93,77.61,7.13,110.86,20.22,68.89,964.0,473.82,0.0,0.0,31-10-2024 10:20 ,14
426,1.18,0.27,0.97,78.41,6.64,112.9,20.44,68.06,964.0,488.03,0.0,0.0,31-10-2024 10:30 ,14
427,1.16,0.23,1.1,78.52,7.99,118.27,20.02,69.64,964.0,306.92,0.0,0.0,31-10-2024 10:40 ,14
428,1.13,0.28,1.16,78.19,6.89,112.45,19.89,69.86,964.0,369.7,0.0,0.0,31-10-2024 10:50 ,14
429,1.15,0.3,1.35,76.16,6.04,114.56,20.05,71.75,964.0,484.14,0.0,0.0,31-10-2024 11:00 ,14
430,1.06,0.37,1.64,76.96,6.27,115.13,20.37,70.17,964.0,534.61,0.0,0.0,31-10-2024 11:10 ,14
431,1.02,0.41,1.69,78.64,6.57,111.33,20.34,68.89,964.0,573.08,0.0,0.0,31-10-2024 11:20 ,14
432,1.17,0.39,1.77,75.81,5.68,107.23,20.32,70.08,964.0,377.9,0.0,0.0,31-10-2024 11:30 ,14
433,1.21,0.37,2.04,76.19,5.97,111.63,19.4,75.94,964.0,360.32,0.0,0.0,31-10-2024 11:40 ,14
434,1.21,0.47,1.93,75.21,5.25,112.92,20.1,73.54,964.0,565.95,0.0,0.0,31-10-2024 11:50 ,14
435,1.2,0.42,1.81,73.19,4.94,112.7,20.2,72.49,964.0,413.65,0.0,0.0,31-10-2024 12:00 ,14
436,1.42,0.34,1.54,72.25,4.57,117.97,18.69,84.86,964.0,385.42,0.2,0.0,31-10-2024 12:10 ,14
437,1.2,0.25,1.48,69.05,3.9,142.32,18.66,89.45,964.82,182.83,0.0,0.0,31-10-2024 12:20 ,14
438,1.15,0.14,1.48,93.11,3.85,210.64,15.0,86.08,965.0,46.57,0.0,0.0,31-10-2024 12:30 ,14
439,1.26,0.13,1.44,94.71,4.68,250.09,14.27,92.51,965.62,28.12,0.0,0.0,31-10-2024 12:40 ,14
440,1.13,0.13,1.31,105.31,4.86,221.94,14.37,89.47,965.7,75.22,0.0,0.0,31-10-2024 12:50 ,14
441,1.1,0.13,1.27,107.99,6.9,194.24,13.81,88.59,965.98,46.29,0.0,0.0,31-10-2024 13:00 ,14
442,1.14,0.13,1.15,108.24,6.22,194.49,13.04,94.27,965.99,49.7,0.0,0.0,31-10-2024 13:10 ,14
443,1.2,0.13,1.02,108.89,5.54,182.8,12.76,99.26,965.88,50.33,0.4,0.0,31-10-2024 13:20 ,14
444,1.05,0.12,0.84,107.17,4.26,199.11,12.63,100.0,965.86,38.14,2.2,0.0,31-10-2024 13:30 ,14
445,1.06,0.11,1.06,107.2,4.8,194.67,12.65,100.0,965.1,29.03,1.2,0.0,31-10-2024 13:40 ,14
446,1.13,0.12,1.18,103.93,2.83,146.52,12.75,100.0,965.8,26.9,0.2,0.0,31-10-2024 13:50 ,14
447,1.27,0.13,1.35,99.11,2.44,133.5,12.69,100.0,965.71,46.17,0.6,0.0,31-10-2024 14:00 ,14
448,1.19,0.15,1.33,102.33,1.66,135.6,12.89,100.0,965.0,72.66,0.2,0.0,31-10-2024 14:10 ,14
449,1.05,0.14,1.07,100.19,1.99,147.37,13.09,100.0,965.0,86.75,0.0,0.0,31-10-2024 14:20 ,14
450,0.95,0.13,0.94,97.88,2.32,122.92,13.16,100.0,965.73,93.01,0.0,0.0,31-10-2024 14:30 ,14
451,1.04,0.13,0.92,98.43,1.91,128.72,13.27,100.0,965.41,112.32,0.0,0.0,31-10-2024 14:40 ,14
452,1.09,0.12,0.9,95.69,2.88,126.11,13.22,100.0,965.61,72.51,1.0,0.0,31-10-2024 14:50 ,14
453,1.18,0.14,1.03,95.26,2.17,129.93,13.22,100.0,965.42,126.16,0.6,0.0,31-10-2024 15:00 ,14
454,,,,,,,,,,,,,,14
455,0.57,0.03,2.16,75.77,2.08,112.43,21.47,100.0,1017.07,4.0,0.0,0.0,31-10-2024 00:10 ,6
456,0.56,0.04,1.44,76.76,2.15,120.26,21.44,100.0,1016.94,4.0,0.0,0.0,31-10-2024 00:20 ,6
457,0.56,0.02,0.8,79.51,2.1,110.14,21.65,100.0,1016.94,4.0,0.0,0.0,31-10-2024 00:30 ,6
458,0.51,0.05,1.24,77.18,2.35,114.1,21.66,100.0,1016.94,4.0,0.0,0.0,31-10-2024 00:40 ,6
459,0.52,0.05,0.67,82.31,2.67,119.93,21.95,100.0,1016.94,4.0,0.0,0.0,31-10-2024 00:50 ,6
460,0.56,0.03,0.36,82.14,3.02,121.44,22.15,100.0,1016.93,4.0,0.0,0.0,31-10-2024 01:00 ,6
461,0.54,0.02,0.58,82.5,3.14,120.76,22.15,100.0,1016.94,4.0,0.0,0.0,31-10-2024 01:10 ,6
462,0.64,0.05,0.92,80.53,2.88,116.71,22.07,100.0,1016.89,4.0,0.0,0.0,31-10-2024 01:20 ,6
463,0.59,0.03,0.58,82.58,2.63,116.27,21.85,100.0,1016.55,4.0,0.0,0.0,31-10-2024 01:30 ,6
464,0.58,0.04,0.95,79.59,2.69,122.12,21.67,100.0,1016.45,4.0,0.0,0.0,31-10-2024 01:40 ,6
465,0.67,0.02,1.01,81.99,2.7,121.04,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 01:50 ,6
466,0.61,0.04,0.66,80.04,2.65,120.68,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:00 ,6
467,0.65,0.03,0.68,81.44,2.62,120.78,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:10 ,6
468,0.64,0.04,0.6,80.42,2.68,123.33,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:20 ,6
469,0.59,0.04,0.47,82.87,2.65,121.63,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:30 ,6
470,0.54,0.04,0.45,81.38,2.64,121.02,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:40 ,6
471,0.36,0.03,0.52,83.12,2.6,118.82,21.66,100.0,1016.32,4.0,0.0,0.0,31-10-2024 02:50 ,6
