,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
2305,Corbera de Llobregat,41.41481133,242.0,14237,690804,1.92914739
2306,Corbillos de los Oteros,42.40652726,792.0,215,672403,-5.45908049
2307,Corbins,41.69175500,209.0,1400,692503,0.69661257
2308,Corcos,41.81144578,789.0,211,674701,-4.69445134
2309,Corcubión,42.94431062,10.0,1672,711502,-9.19177854
2310,Cordobilla de Lácara,39.14776685,301.0,974,700601,-6.43602265
2311,Cordovilla,40.95126246,829.0,124,673701,-5.40597336
2312,Cordovilla la Real,42.08081213,744.0,98,673402,-4.25879177
2313,Cordovín,42.38501298,594.0,174,762601,-2.81458554
2314,Corduente,40.84271475,1051.0,365,681902,-1.97933370
2315,Corella,42.11434499,370.0,7753,743104,-1.78345908
2316,Corera,42.34314435,522.0,276,762601,-2.21935825
2317,Coreses,41.54854885,645.0,1069,674902,-5.62169245
2318,"Corgo, O",42.94117218,439.0,3695,712702,-7.43048799
2319,Coria,39.98439349,264.0,12921,701002,-6.53587444
2320,Coria del Río,37.28383805,7.0,30208,614102,-6.05111441
2321,Coripe,36.97092584,325.0,1361,614103,-5.44095231
2322,San Roque,43.18763881,138.0,6706,711501,-8.73695863
2323,Cornago,42.06547097,750.0,366,762602,-2.09537832
2324,Cornellà de Llobregat,41.35546934,27.0,86234,690804,2.07013202
2325,Cornellà del Terri,42.08983634,96.0,2235,691702,2.81573428
2326,Cornudella de Montsant,41.26509943,531.0,954,694305,0.90556711
2327,"Coronada, La",38.92053331,351.0,2197,700601,-5.67088279
2328,"Coronil, El",37.08163152,133.0,4996,614102,-5.63458688
2329,Corpa,40.42450437,815.0,671,722802,-3.26254358
2330,Corporales,42.43190578,734.0,43,762601,-2.99498241
2331,Corral de Almaguer,39.75947704,701.0,5590,684504,-3.16447964
2332,Corral de Ayllón,41.39131704,1023.0,94,674001,-3.45932179
2333,Corral de Calatrava,38.85862031,594.0,1150,681303,-4.08120532
2334,Corral-Rubio,38.83500072,870.0,365,680203,-1.46085250
2335,"Corrales de Buelna, Los",43.26010277,92.0,11230,663903,-4.06209411
2336,Corrales de Duero,41.67063753,808.0,98,674701,-4.04930839
2337,Corrales del Vino,41.35782006,760.0,1067,674902,-5.72518719
2338,"Corrales, Los",37.09724247,387.0,4029,614103,-4.98273130
2339,Corte de Peleas,38.72510832,243.0,1301,700603,-6.67053644
2340,Corteconcepción,37.89838835,577.0,556,612101,-6.51042448
2341,Cortegada,42.20678650,146.0,1191,713202,-8.16923585
2342,Cortegana,37.91061264,679.0,5025,612101,-6.81961337
2343,Cortelazor,37.93557537,620.0,289,612101,-6.62444370
2344,Cortes,41.92319674,255.0,3199,743104,-1.42257856
2345,Cortes de Aragón,40.97434864,931.0,61,624402,-0.83546751
2346,Cortes de Arenoso,40.18692520,980.0,318,771203,-0.54194450
2347,Cortes de Baza,37.65604885,700.0,2098,611802,-2.77106900
2348,Cortes de Pallás,39.24291836,423.0,1012,774603,-0.94088107
2349,Cortes de la Frontera,36.61781253,624.0,3357,612902,-5.34243171
2350,Graena,37.30400297,974.0,1023,611802,-3.21870296
2351,"Cortijos, Los",39.31650399,793.0,951,681301,-4.06675762
2352,Corullón,42.57805937,523.0,1007,672402,-6.81935487
2353,Coruña del Conde,41.76543493,903.0,126,670904,-3.39200543
2354,"Coruña, A",43.37012643,21.0,244810,711501,-8.39114853
2355,Nubledo/Nubleo,43.52195850,58.0,16153,633301,-5.87012215
2356,San Vicente de Toranzo,43.20849535,180.0,2121,663903,-3.93951101
2357,Corçà,41.98936240,43.0,1257,691703,3.01707993
2358,Cosa,40.83397337,1185.0,56,624401,-1.13531234
2359,Coscurita,41.43491737,960.0,92,674202,-2.47549617
2360,Coslada,40.42654912,620.0,88847,722802,-3.56749362
2361,"Feira do Monte, A",43.23440914,445.0,4892,712702,-7.55883560
2362,Costitx,39.65741566,138.0,1183,645403,2.95035295
2363,Costur,40.11971740,470.0,562,771203,-0.17429683
2364,Cosuenda,41.36604369,618.0,377,625002,-1.29933003
2365,Cotanes del Monte,41.81789938,713.0,118,674902,-5.29013492
2366,Cotes,39.07173309,38.0,365,774604,-0.57519438
2367,Cotillas,38.43135915,947.0,139,680202,-2.50574545
2368,"Chan, A",42.47319049,384.0,4327,713602,-8.48031316
2369,Covaleda,41.93553839,1209.0,1809,674201,-2.88162215
2370,Covarrubias,42.05751608,880.0,601,670904,-3.51886805
2371,Santiago de Covelo,42.23184187,385.0,2719,713602,-8.36371623
2372,"Coves de Vinromà, les",40.30947567,182.0,1910,771204,0.12056808
2373,Cox,38.13972138,16.0,7188,770303,-0.88437585
2374,Cozuelos de Fuentidueña,41.39055725,873.0,136,674001,-4.09575040
2375,Coín,36.65987005,206.0,21553,612903,-4.75958685
2376,Crecente,42.15377522,198.0,2261,713603,-8.22329532
2377,Creixell,41.16812938,46.0,3480,694303,1.44203046
2378,Crespià,42.18696154,137.0,245,691702,2.79921562
2379,Crespos,40.87320139,923.0,518,670501,-4.96994627
2380,Cretas,40.92857287,567.0,601,624403,0.21176070
2381,Crevillent,38.24881414,129.0,28328,770303,-0.80855322
2382,Cristina,38.83667712,293.0,565,700601,-6.09950867
2383,Cristóbal,40.46969724,868.0,170,673703,-5.88987907
2384,Crivillén,40.88387225,770.0,75,624403,-0.57717682
2385,Sant Sadurní de l'Heura,41.95621822,111.0,1284,691703,2.99099519
2386,Crémenes,42.90408930,1003.0,585,672401,-5.14412284
2387,Cuacos de Yuste,40.10701253,519.0,877,701001,-5.72209693
2388,Cuadros,42.71094997,900.0,1998,672401,-5.63896265
2389,Cualedro,41.98996721,843.0,1808,713203,-7.59359969
2390,Cuarte de Huerva,41.58939012,298.0,11589,625003,-0.92991614
2391,"Cuba, La",40.59147841,890.0,45,624402,-0.29831744
2392,Cubas de la Sagra,40.19152446,647.0,5738,722803,-3.83796534
2393,Cubel,41.09678294,1112.0,184,625002,-1.63772454
2394,Cubelles,41.20872584,16.0,14481,690804,1.67282672
2395,Cubells,41.85144362,504.0,395,692503,0.95948553
2396,Cubilla,41.74885856,1088.0,42,674201,-2.93848440
2397,Cubillas de Cerrato,41.79929687,751.0,65,673402,-4.46725260
2398,Cubillas de Rueda,42.65544376,892.0,475,672401,-5.17362349
2399,Cubillas de Santa Marta,41.83442178,759.0,292,674701,-4.61311436
2400,Cubillas de los Oteros,42.37170728,777.0,153,672403,-5.50751452
2401,Cubillo,41.12169467,1058.0,69,674002,-3.90921405
2402,"Cubillo de Uceda, El",40.82464188,885.0,155,681903,-3.40605240
2403,Cubillo del Campo,42.17009590,1003.0,99,670905,-3.61089134
2404,Cubillos,41.57407602,666.0,332,674902,-5.73966299
2405,Cubillos del Sil,42.62462360,578.0,1851,672402,-6.56494844
2406,Cubla,40.21076856,1089.0,55,624401,-1.07927330
2407,Cubo de Benavente,42.12350225,808.0,120,674902,-6.16278736
2408,Cubo de Bureba,42.64033278,683.0,96,670902,-3.20759384
2409,"Cubo de Don Sancho, El",40.89250938,739.0,466,673701,-6.30565330
2410,"Cubo de Tierra del Vino, El",41.25511045,838.0,371,674902,-5.70957248
2411,Cubo de la Solana,41.60253540,989.0,184,674202,-2.42286212
2412,Cucalón,41.08558217,1035.0,103,624401,-1.21425010
