,SO2(001):,NO(007):,NO2(008):,O3(014):,VEL(081):,DIR(082):,TEM(083):,HUM(086):,PRE(087):,RAD(088):,LLU(089):,PM10(010):,date,estacion
34,+00000.48,+00000.11,+00000.95,+00060.39,+00001.56,+00116.44,+00011.19,+00093.16,+00971.90,+00000.00,+00000.20,+00000.00,31-10-2024 05:50 ,11
35,+00000.45,+00000.19,+00001.00,+00059.62,+00002.00,+00097.91,+00011.26,+00093.43,+00971.81,+00000.00,+00000.00,+00000.00,31-10-2024 06:00 ,11
36,+00000.39,+00000.14,+00000.93,+00058.99,+00001.64,+00109.06,+00011.30,+00092.10,+00971.83,+00000.00,+00000.00,+00000.00,31-10-2024 06:10 ,11
37,+00000.43,+00000.12,+00000.88,+00054.92,+00001.36,+00120.98,+00011.30,+00093.57,+00971.96,+00000.00,+00000.00,+00000.00,31-10-2024 06:20 ,11
38,+00000.51,+00000.17,+00000.99,+00050.37,+00001.75,+00121.99,+00011.21,+00093.58,+00971.97,+00000.00,+00000.00,+00000.00,31-10-2024 06:30 ,11
39,+00000.45,+00000.16,+00001.28,+00049.70,+00001.54,+00125.60,+00011.19,+00092.35,+00971.99,+00000.00,+00000.00,+00000.00,31-10-2024 06:40 ,11
40,+00000.13,+00001.18,+00002.12,+00031.04,+00001.29,+00126.30,+00010.94,+00092.89,+00972.00,+00000.00,+00000.00,+00000.00,31-10-2024 06:50 ,11
41,+00000.09,+00002.53,+00003.86,+00023.79,+00000.66,+00134.65,+00010.64,+00091.10,+00972.02,+00000.31,+00000.00,+00000.00,31-10-2024 07:00 ,11
42,+00000.20,+00010.03,+00002.85,+00019.16,+00000.50,+00141.00,+00010.40,+00093.60,+00972.30,+00001.40,+00000.00,+00000.00,31-10-2024 07:10 ,11
43,+00000.20,+00005.99,+00002.51,+00026.72,+00000.80,+00097.00,+00010.70,+00095.40,+00972.40,+00002.40,+00000.00,+00000.00,31-10-2024 07:20 ,11
44,+00000.49,+00001.42,+00002.21,+00038.62,+00001.20,+00083.00,+00011.20,+00096.40,+00972.50,+00003.60,+00000.00,+00000.00,31-10-2024 07:30 ,11
45,+00000.57,+00000.39,+00001.50,+00044.94,+00000.90,+00102.00,+00011.50,+00096.10,+00972.60,+00007.90,+00000.00,+00000.00,31-10-2024 07:40 ,11
46,+00000.49,+00002.15,+00002.02,+00037.86,+00001.20,+00093.00,+00011.80,+00096.50,+00972.70,+00007.00,+00000.00,+00000.00,31-10-2024 07:50 ,11
47,+00000.53,+00000.18,+00001.19,+00051.91,+00001.40,+00101.00,+00012.10,+00096.60,+00972.90,+00008.30,+00000.00,+00000.00,31-10-2024 08:00 ,11
48,+00000.67,+00000.24,+00001.37,+00051.56,+00001.80,+00094.00,+00012.30,+00096.40,+00972.90,+00010.80,+00000.40,+00000.00,31-10-2024 08:10 ,11
49,+00000.51,+00000.20,+00001.36,+00053.20,+00001.80,+00108.00,+00012.60,+00096.70,+00972.90,+00012.10,+00000.20,+00000.00,31-10-2024 08:20 ,11
50,+00000.69,+00000.20,+00001.34,+00058.32,+00002.20,+00111.00,+00012.80,+00096.60,+00973.00,+00014.70,+00000.40,+00000.00,31-10-2024 08:30 ,11
51,+00000.60,+00000.28,+00001.54,+00054.20,+00002.60,+00107.00,+00012.90,+00096.60,+00973.00,+00016.40,+00000.00,+00000.00,31-10-2024 08:40 ,11
52,+00000.49,+00000.15,+00001.46,+00064.58,+00003.80,+00124.00,+00013.10,+00096.30,+00973.00,+00017.90,+00000.40,+00000.00,31-10-2024 08:50 ,11
53,+00000.72,+00000.20,+00001.62,+00064.62,+00004.60,+00122.00,+00013.20,+00096.00,+00973.10,+00018.50,+00000.40,+00000.00,31-10-2024 09:00 ,11
